2019-02-27 16:25:56 status half-installed libc6:armhf 2.23-0ubuntu3
2019-02-27 16:25:56 status half-installed libc6:armhf 2.23-0ubuntu3
2019-02-27 16:25:56 status unpacked libc6:armhf 2.23-0ubuntu3
2019-02-27 16:25:56 status unpacked libc6:armhf 2.23-0ubuntu3
2019-02-27 16:25:56 install libcap2:armhf <none> 1:2.24-12
2019-02-27 16:25:56 status half-installed libcap2:armhf 1:2.24-12
2019-02-27 16:25:56 status unpacked libcap2:armhf 1:2.24-12
2019-02-27 16:25:56 status unpacked libcap2:armhf 1:2.24-12
2019-02-27 16:25:57 install libcap2-bin:armhf <none> 1:2.24-12
2019-02-27 16:25:57 status half-installed libcap2-bin:armhf 1:2.24-12
2019-02-27 16:25:57 status unpacked libcap2-bin:armhf 1:2.24-12
2019-02-27 16:25:57 status unpacked libcap2-bin:armhf 1:2.24-12
2019-02-27 16:25:57 install libcomerr2:armhf <none> 1.42.13-1ubuntu1
2019-02-27 16:25:57 status half-installed libcomerr2:armhf 1.42.13-1ubuntu1
2019-02-27 16:25:57 status unpacked libcomerr2:armhf 1.42.13-1ubuntu1
2019-02-27 16:25:57 status unpacked libcomerr2:armhf 1.42.13-1ubuntu1
2019-02-27 16:25:57 install libcryptsetup4:armhf <none> 2:1.6.6-5ubuntu2
2019-02-27 16:25:57 status half-installed libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2019-02-27 16:25:57 status unpacked libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2019-02-27 16:25:57 status unpacked libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2019-02-27 16:25:57 install libdb5.3:armhf <none> 5.3.28-11
2019-02-27 16:25:57 status half-installed libdb5.3:armhf 5.3.28-11
2019-02-27 16:25:57 status unpacked libdb5.3:armhf 5.3.28-11
2019-02-27 16:25:57 status unpacked libdb5.3:armhf 5.3.28-11
2019-02-27 16:25:57 install libdebconfclient0:armhf <none> 0.198ubuntu1
2019-02-27 16:25:57 status half-installed libdebconfclient0:armhf 0.198ubuntu1
2019-02-27 16:25:57 status unpacked libdebconfclient0:armhf 0.198ubuntu1
2019-02-27 16:25:57 status unpacked libdebconfclient0:armhf 0.198ubuntu1
2019-02-27 16:25:57 install libdevmapper1.02.1:armhf <none> 2:1.02.110-1ubuntu10
2019-02-27 16:25:57 status half-installed libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2019-02-27 16:25:57 status unpacked libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2019-02-27 16:25:57 status unpacked libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2019-02-27 16:25:57 install libfdisk1:armhf <none> 2.27.1-6ubuntu3
2019-02-27 16:25:57 status half-installed libfdisk1:armhf 2.27.1-6ubuntu3
2019-02-27 16:25:57 status unpacked libfdisk1:armhf 2.27.1-6ubuntu3
2019-02-27 16:25:57 status unpacked libfdisk1:armhf 2.27.1-6ubuntu3
2019-02-27 16:25:57 install libgcc1:armhf <none> 1:6.0.1-0ubuntu1
2019-02-27 16:25:57 status half-installed libgcc1:armhf 1:6.0.1-0ubuntu1
2019-02-27 16:25:57 status unpacked libgcc1:armhf 1:6.0.1-0ubuntu1
2019-02-27 16:25:57 status unpacked libgcc1:armhf 1:6.0.1-0ubuntu1
2019-02-27 16:25:57 install libgcrypt20:armhf <none> 1.6.5-2
2019-02-27 16:25:57 status half-installed libgcrypt20:armhf 1.6.5-2
2019-02-27 16:25:57 status unpacked libgcrypt20:armhf 1.6.5-2
2019-02-27 16:25:57 status unpacked libgcrypt20:armhf 1.6.5-2
2019-02-27 16:25:57 install libgpg-error0:armhf <none> 1.21-2ubuntu1
2019-02-27 16:25:57 status half-installed libgpg-error0:armhf 1.21-2ubuntu1
2019-02-27 16:25:57 status unpacked libgpg-error0:armhf 1.21-2ubuntu1
2019-02-27 16:25:57 status unpacked libgpg-error0:armhf 1.21-2ubuntu1
2019-02-27 16:25:57 install libkmod2:armhf <none> 22-1ubuntu4
2019-02-27 16:25:57 status half-installed libkmod2:armhf 22-1ubuntu4
2019-02-27 16:25:57 status unpacked libkmod2:armhf 22-1ubuntu4
2019-02-27 16:25:57 status unpacked libkmod2:armhf 22-1ubuntu4
2019-02-27 16:25:57 install liblzma5:armhf <none> 5.1.1alpha+20120614-2ubuntu2
2019-02-27 16:25:57 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2019-02-27 16:25:57 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2019-02-27 16:25:57 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2019-02-27 16:25:57 install libmount1:armhf <none> 2.27.1-6ubuntu3
2019-02-27 16:25:57 status half-installed libmount1:armhf 2.27.1-6ubuntu3
2019-02-27 16:25:57 status unpacked libmount1:armhf 2.27.1-6ubuntu3
2019-02-27 16:25:57 status unpacked libmount1:armhf 2.27.1-6ubuntu3
2019-02-27 16:25:57 install libncurses5:armhf <none> 6.0+20160213-1ubuntu1
2019-02-27 16:25:57 status half-installed libncurses5:armhf 6.0+20160213-1ubuntu1
2019-02-27 16:25:57 status unpacked libncurses5:armhf 6.0+20160213-1ubuntu1
2019-02-27 16:25:57 status unpacked libncurses5:armhf 6.0+20160213-1ubuntu1
2019-02-27 16:25:57 install libncursesw5:armhf <none> 6.0+20160213-1ubuntu1
2019-02-27 16:25:57 status half-installed libncursesw5:armhf 6.0+20160213-1ubuntu1
2019-02-27 16:25:57 status unpacked libncursesw5:armhf 6.0+20160213-1ubuntu1
2019-02-27 16:25:57 status unpacked libncursesw5:armhf 6.0+20160213-1ubuntu1
2019-02-27 16:25:57 install libpam-modules:armhf <none> 1.1.8-3.2ubuntu2
2019-02-27 16:25:57 status half-installed libpam-modules:armhf 1.1.8-3.2ubuntu2
2019-02-27 16:25:58 status unpacked libpam-modules:armhf 1.1.8-3.2ubuntu2
2019-02-27 16:25:58 status unpacked libpam-modules:armhf 1.1.8-3.2ubuntu2
2019-02-27 16:25:58 install libpam-modules-bin:armhf <none> 1.1.8-3.2ubuntu2
2019-02-27 16:25:58 status half-installed libpam-modules-bin:armhf 1.1.8-3.2ubuntu2
2019-02-27 16:25:58 status unpacked libpam-modules-bin:armhf 1.1.8-3.2ubuntu2
2019-02-27 16:25:58 status unpacked libpam-modules-bin:armhf 1.1.8-3.2ubuntu2
2019-02-27 16:25:58 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2019-02-27 16:25:58 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2019-02-27 16:25:58 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2019-02-27 16:25:58 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2019-02-27 16:25:58 install libpam0g:armhf <none> 1.1.8-3.2ubuntu2
2019-02-27 16:25:58 status half-installed libpam0g:armhf 1.1.8-3.2ubuntu2
2019-02-27 16:25:58 status unpacked libpam0g:armhf 1.1.8-3.2ubuntu2
2019-02-27 16:25:58 status unpacked libpam0g:armhf 1.1.8-3.2ubuntu2
